data-cut-off-date,web-posting-date,aefi,pfizer-events,pfizer-bivalent-reports,moderna-events,moderna-bivalent-BA1-reports,moderna-bivalent-BA45-reports,cov-azc-events,janssen-events,Novavax-events,unspecified-events,total-events,pfizer-rate,pfizer-bivalent-rate,moderna-rate,moderna-bivalent-BA1-rate,moderna-bivalent-BA45-rate,cov-azc-rate,janssen-rate,Novavax-rate,total-rate
2021-10-29,2021-11-05,Vaccination site pain,1173,,1656,,,367,,,12,3208,2.89,,11.62,,,13.13,N/A,,5.55
2021-10-29,2021-11-05,Headache,1395,,581,,,682,,,28,2686,3.43,,4.08,,,24.40,N/A,,4.65
2021-10-29,2021-11-05,Pruritus,1586,,774,,,230,,,12,2602,3.90,,5.43,,,8.23,N/A,,4.51
2021-10-29,2021-11-05,Fatigue,1310,,548,,,373,,,43,2274,3.22,,3.84,,,13.34,N/A,,3.94
2021-10-29,2021-11-05,Dyspnoea (laboured breathing),1384,,584,,,274,,,16,2258,3.40,,4.10,,,9.80,N/A,,3.91
2021-10-29,2021-11-05,Urticaria (hives),1301,,634,,,210,,,6,2151,3.20,,4.45,,,7.51,N/A,,3.72
2021-10-29,2021-11-05,Vaccination site erythema (redness),388,,1441,,,172,,,4,2005,0.95,,10.11,,,6.15,N/A,,3.47
2021-10-29,2021-11-05,Nausea,1094,,510,,,278,,,24,1906,2.69,,3.58,,,9.95,N/A,,3.30
2021-10-29,2021-11-05,Dizziness,577,,953,,,233,,,17,1780,1.42,,6.69,,,8.34,N/A,,3.08
2021-10-29,2021-11-05,Fever ≥ 38°C,812,,513,,,429,,,23,1777,2.00,,3.60,,,15.35,N/A,,3.08
2021-10-29,2021-11-05,Hypoaesthesia (numbness),1085,,363,,,281,,,14,1743,2.67,,2.55,,,10.05,N/A,,3.02
2021-10-29,2021-11-05,Vaccination site swelling,390,,1142,,,165,,,2,1694,0.96,,8.01,,,5.90,N/A,,2.93
2021-10-29,2021-11-05,Erythema (redness),872,,456,,,178,,,11,1517,2.14,,3.20,,,6.37,N/A,,2.63
2021-10-29,2021-11-05,Chest pain,870,,441,,,123,,,5,1439,2.14,,3.09,,,4.40,N/A,,2.49
2021-10-29,2021-11-05,Pain,683,,305,,,246,,,39,1273,1.68,,2.14,,,8.80,N/A,,2.20
2021-10-29,2021-11-05,Vaccination site warmth,229,,903,,,108,,,0,1240,0.56,,6.33,,,3.86,N/A,,2.15
2021-10-29,2021-11-05,Arthralgia (joint pain),732,,265,,,185,,,31,1213,1.80,,1.86,,,6.62,N/A,,2.10
2021-10-29,2021-11-05,Chest discomfort,722,,311,,,112,,,4,1149,1.78,,2.18,,,4.01,N/A,,1.99
2021-10-29,2021-11-05,Chills,490,,295,,,308,,,7,1100,1.21,,2.07,,,11.02,N/A,,1.90
2021-10-29,2021-11-05,Rash,606,,340,,,136,,,14,1096,1.49,,2.39,,,4.87,N/A,,1.90
2021-10-29,2021-11-05,Vomiting,617,,282,,,175,,,16,1090,1.52,,1.98,,,6.26,N/A,,1.89
2021-10-29,2021-11-05,Diarrhea,594,,260,,,173,,,24,1051,1.46,,1.82,,,6.19,N/A,,1.82
2021-10-29,2021-11-05,Pain in extremity,617,,202,,,205,,,22,1046,1.52,,1.42,,,7.33,N/A,,1.81
2021-10-29,2021-11-05,Myocarditis/pericarditis,613,,374,,,21,,,4,1012,1.51,,2.62,,,0.75,N/A,,1.75
2021-10-29,2021-11-05,Adenopathy/lymphadenopathy (swollen lymph nodes),614,,320,,,53,,,2,989,1.51,,2.24,,,1.90,N/A,,1.71
2021-10-29,2021-11-05,Throat tightness,640,,181,,,48,,,0,869,1.57,,1.27,,,1.72,N/A,,1.50
2021-10-29,2021-11-05,Myalgia (muscle pain),419,,229,,,183,,,10,841,1.03,,1.61,,,6.55,N/A,,1.46
2021-10-29,2021-11-05,Vaccination site pruritus (itching),153,,613,,,60,,,1,827,0.38,,4.30,,,2.15,N/A,,1.43
2021-10-29,2021-11-05,Asthenia (weakness),430,,189,,,127,,,19,765,1.06,,1.33,,,4.54,N/A,,1.32
2021-10-29,2021-11-05,Rash generalized (non-allergic),448,,230,,,85,,,0,763,1.10,,1.61,,,3.04,N/A,,1.32
2021-10-29,2021-11-05,Dysphagia (difficulty swallowing),525,,144,,,44,,,0,713,1.29,,1.01,,,1.57,N/A,,1.23
2021-10-29,2021-11-05,Malaise (discomfort),368,,159,,,93,,,29,649,0.91,,1.12,,,3.33,N/A,,1.12
2021-10-29,2021-11-05,Vaccination site cellulitis,67,,488,,,71,,,0,626,0.16,,3.42,,,2.54,N/A,,1.06
2021-10-29,2021-11-05,Palpitations,428,,134,,,48,,,4,614,1.05,,0.94,,,1.72,N/A,,1.08
2021-10-29,2021-11-05,Cough,372,,170,,,57,,,13,612,0.92,,1.19,,,2.04,N/A,,1.06
2021-10-29,2021-11-05,Bell's Palsy/facial paralysis,427,,138,,,45,,,0,611,1.05,,0.97,,,1.61,N/A,,1.06
2021-10-29,2021-11-05,Tachycardia (fast heartbeat),398,,149,,,59,,,1,607,0.98,,1.05,,,2.11,N/A,,1.05
2021-10-29,2021-11-05,Abdominal pain,348,,124,,,93,,,23,588,0.86,,0.87,,,3.33,N/A,,1.02
2021-10-29,2021-11-05,Swelling face,398,,132,,,51,,,3,584,0.98,,0.93,,,1.82,N/A,,1.01
2021-10-29,2021-11-05,Vaccination site reaction,105,,425,,,34,,,1,565,0.26,,2.98,,,1.22,N/A,,0.98
2021-10-29,2021-11-05,Feeling hot,333,,154,,,74,,,3,564,0.82,,1.08,,,2.65,N/A,,0.98
2021-10-29,2021-11-05,Hypersensitivity,334,,163,,,48,,,6,551,0.82,,1.14,,,1.72,N/A,,0.95
2021-10-29,2021-11-05,Vaccination site rash,137,,364,,,38,,,0,539,0.34,,2.55,,,1.36,N/A,,0.93
2021-10-29,2021-11-05,Anaphylaxis,406,,111,,,21,,,1,539,1.00,,0.78,,,0.75,N/A,,0.93
2021-10-29,2021-11-05,Peripheral swelling,296,,128,,,90,,,16,494,0.73,,0.90,,,3.22,N/A,,0.86
2021-10-29,2021-11-05,Swollen tongue,348,,109,,,34,,,1,492,0.86,,0.76,,,1.22,N/A,,0.85
2021-10-29,2021-11-05,Lip swelling,324,,103,,,40,,,1,468,0.80,,0.72,,,1.43,N/A,,0.81
2021-10-29,2021-11-05,Dermatitis allergic,246,,143,,,40,,,0,429,0.61,,1.00,,,1.43,N/A,,0.74
2021-10-29,2021-11-05,Flushing,295,,95,,,30,,,4,424,0.73,,0.67,,,1.07,N/A,,0.73
2021-11-05,2021-11-15,Paraesthesia (tingling or prickling),2202,,829,,,475,,,10,3518,5.38,,5.77,,,16.99,N/A,,6.05
2021-11-05,2021-11-15,Vaccination site pain,1249,,1718,,,372,,,12,3351,3.05,,11.97,,,13.31,N/A,,5.76
2021-11-05,2021-11-15,Headache,1470,,629,,,698,,,27,2824,3.59,,4.38,,,24.96,N/A,,4.86
2021-11-05,2021-11-15,Pruritus,1677,,825,,,234,,,12,2751,4.10,,5.75,,,8.37,N/A,,4.73
2021-11-05,2021-11-15,Dyspnoea (laboured breathing),1497,,652,,,275,,,17,2442,3.66,,4.54,,,9.84,N/A,,4.20
2021-11-05,2021-11-15,Fatigue,1392,,590,,,384,,,45,2411,3.40,,4.11,,,13.73,N/A,,4.15
2021-11-05,2021-11-15,Urticaria (hives),1395,,682,,,211,,,6,2295,3.41,,4.75,,,7.55,N/A,,3.95
2021-11-05,2021-11-15,Vaccination site erythema (redness),407,,1478,,,176,,,4,2065,0.99,,10.30,,,6.29,N/A,,3.55
2021-11-05,2021-11-15,Nausea,1152,,544,,,283,,,25,2004,2.81,,3.79,,,10.12,N/A,,3.45
2021-11-05,2021-11-15,Dizziness,1209,,436,,,234,,,17,1896,2.95,,3.04,,,8.37,N/A,,3.26
2021-11-05,2021-11-15,Fever ≥ 38°C,868,,549,,,439,,,22,1879,2.12,,3.82,,,15.70,N/A,,3.23
2021-11-05,2021-11-15,Hypoaesthesia (numbness),1134,,388,,,286,,,14,1822,2.77,,2.70,,,10.23,N/A,,3.13
2021-11-05,2021-11-15,Vaccination site swelling,413,,1183,,,169,,,2,1769,1.01,,8.24,,,6.04,N/A,,3.04
2021-11-05,2021-11-15,Chest pain,1024,,524,,,129,,,5,1682,2.50,,3.65,,,4.61,N/A,,2.89
2021-11-05,2021-11-15,Erythema (redness),905,,482,,,179,,,11,1579,2.21,,3.36,,,6.40,N/A,,2.72
2021-11-05,2021-11-15,Pain,720,,330,,,250,,,40,1340,1.76,,2.30,,,8.94,N/A,,2.31
2021-11-05,2021-11-15,Arthralgia (joint pain),772,,280,,,192,,,31,1275,1.89,,1.95,,,6.87,N/A,,2.19
2021-11-05,2021-11-15,Vaccination site warmth,235,,916,,,112,,,0,1263,0.57,,6.38,,,4.01,N/A,,2.17
2021-11-05,2021-11-15,Chest discomfort,794,,342,,,115,,,4,1255,1.94,,2.38,,,4.11,N/A,,2.16
2021-11-05,2021-11-15,Rash,656,,372,,,136,,,15,1179,1.60,,2.59,,,4.86,N/A,,2.03
2021-11-05,2021-11-15,Vomiting,661,,307,,,181,,,16,1165,1.61,,2.14,,,6.47,N/A,,2.00
2021-11-05,2021-11-15,Chills,514,,316,,,317,,,6,1153,1.26,,2.20,,,11.34,N/A,,1.98
2021-11-05,2021-11-15,Pain in extremity,653,,215,,,209,,,22,1099,1.60,,1.50,,,7.48,N/A,,1.89
2021-11-05,2021-11-15,Diarrhea,614,,281,,,178,,,24,1097,1.50,,1.96,,,6.37,N/A,,1.89
2021-11-05,2021-11-15,Myocarditis/Pericarditis,654,,396,,,21,,,4,1075,1.60,,2.76,,,0.75,N/A,,1.85
2021-11-05,2021-11-15,Adenopathy/lymphadenopathy (swollen lymph nodes),659,,342,,,54,,,2,1057,1.61,,2.38,,,1.93,N/A,,1.82
2021-11-05,2021-11-15,Throat tightness,654,,189,,,48,,,0,891,1.60,,1.32,,,1.72,N/A,,1.53
2021-11-05,2021-11-15,Myalgia (muscle pain),439,,246,,,190,,,10,885,1.07,,1.71,,,6.80,N/A,,1.52
2021-11-05,2021-11-15,Vaccination site pruritus (itching),159,,626,,,62,,,1,848,0.39,,4.36,,,2.22,N/A,,1.46
2021-11-05,2021-11-15,Rash generalized (non-allergic),485,,246,,,88,,,0,820,1.18,,1.71,,,3.15,N/A,,1.41
2021-11-05,2021-11-15,Asthenia (weakness),457,,206,,,131,,,20,814,1.12,,1.44,,,4.69,N/A,,1.40
2021-11-05,2021-11-15,Dysphagia (difficulty swallowing),540,,149,,,45,,,0,734,1.32,,1.04,,,1.61,N/A,,1.26
2021-11-05,2021-11-15,Palpitations,482,,167,,,49,,,4,702,1.18,,1.16,,,1.75,N/A,,1.21
2021-11-05,2021-11-15,Malaise (discomfort),384,,167,,,94,,,29,674,0.94,,1.16,,,3.36,N/A,,1.16
2021-11-05,2021-11-15,Tachycardia (fast heartbeat),425,,170,,,60,,,1,657,1.04,,1.18,,,2.15,N/A,,1.13
2021-11-05,2021-11-15,Vaccination site cellulitis,69,,497,,,71,,,0,638,0.17,,3.46,,,2.54,N/A,,1.10
2021-11-05,2021-11-15,Cough,391,,176,,,57,,,14,638,0.96,,1.23,,,2.04,N/A,,1.10
2021-11-05,2021-11-15,Bell's Palsy,440,,139,,,45,,,1,625,1.07,,0.97,,,1.61,N/A,,1.08
2021-11-05,2021-11-15,Swelling face,419,,141,,,51,,,3,614,1.02,,0.98,,,1.82,N/A,,1.06
2021-11-05,2021-11-15,Abdominal pain,366,,129,,,95,,,23,613,0.89,,0.90,,,3.40,N/A,,1.05
2021-11-05,2021-11-15,Anaphylaxis,441,,125,,,21,,,1,588,1.08,,0.87,,,0.75,N/A,,1.01
2021-11-05,2021-11-15,Vaccination site reaction,115,,434,,,35,,,1,586,0.28,,3.02,,,1.25,N/A,,1.01
2021-11-05,2021-11-15,Feeling hot,340,,157,,,76,,,3,576,0.83,,1.09,,,2.72,N/A,,0.99
2021-11-05,2021-11-15,Hypersensitivity,348,,171,,,49,,,6,574,0.85,,1.19,,,1.75,N/A,,0.99
2021-11-05,2021-11-15,Vaccination site rash,146,,377,,,41,,,0,564,0.36,,2.63,,,1.47,N/A,,0.97
2021-11-05,2021-11-15,Peripheral swelling,314,,138,,,93,,,16,561,0.77,,0.96,,,3.33,N/A,,0.97
2021-11-05,2021-11-15,Swollen tongue,365,,118,,,34,,,1,518,0.89,,0.82,,,1.22,N/A,,0.89
2021-11-05,2021-11-15,Hyperhidrosis (excessive sweating),292,,141,,,59,,,8,500,0.71,,0.98,,,2.11,N/A,,0.86
2021-11-05,2021-11-15,Lip swelling,339,,108,,,40,,,1,488,0.83,,0.75,,,1.43,N/A,,0.84
2021-11-05,2021-11-15,Dermatitis allergic,267,,162,,,42,,,0,471,0.65,,1.13,,,1.50,N/A,,0.81
2021-11-12,2021-11-19,Paraesthesia (tingling or prickling),2344,,876,,,492,,,0,3712,5.67,,6.05,,,17.59,N/A,,6.33
2021-11-12,2021-11-19,Vaccination site pain,1344,,1801,,,386,,,0,3531,3.25,,12.45,,,13.80,N/A,,6.02
2021-11-12,2021-11-19,Headache,1560,,677,,,708,,,0,2945,3.78,,4.68,,,25.32,N/A,,5.02
2021-11-12,2021-11-19,Pruritus,1745,,860,,,238,,,0,2843,4.22,,5.94,,,8.51,N/A,,4.85
2021-11-12,2021-11-19,Dyspnoea (laboured breathing),1621,,696,,,281,,,0,2598,3.92,,4.81,,,10.05,N/A,,4.43
2021-11-12,2021-11-19,Fatigue,1486,,631,,,395,,,0,2512,3.60,,4.36,,,14.12,N/A,,4.28
2021-11-12,2021-11-19,Urticaria (hives),1470,,709,,,213,,,0,2392,3.56,,4.90,,,7.62,N/A,,4.08
2021-11-12,2021-11-19,Vaccination site erythema (redness),440,,1528,,,179,,,0,2147,1.07,,10.56,,,6.40,N/A,,3.66
2021-11-12,2021-11-19,Nausea,1207,,573,,,288,,,0,2068,2.92,,3.96,,,10.30,N/A,,3.53
2021-11-12,2021-11-19,Dizziness,1283,,476,,,234,,,1,1994,3.11,,3.29,,,8.37,N/A,,3.40
2021-11-12,2021-11-19,Fever ≥ 38°C,929,,602,,,453,,,0,1984,2.25,,4.16,,,16.20,N/A,,3.38
2021-11-12,2021-11-19,Hypoaesthesia (numbness),1218,,415,,,296,,,0,1929,2.95,,2.87,,,10.58,N/A,,3.29
2021-11-12,2021-11-19,Chest pain,1191,,574,,,132,,,0,1897,2.88,,3.97,,,4.72,N/A,,3.24
2021-11-12,2021-11-19,Vaccination site swelling,449,,1235,,,173,,,0,1857,1.09,,8.54,,,6.19,N/A,,3.17
2021-11-12,2021-11-19,Erythema (redness),944,,502,,,182,,,0,1628,2.29,,3.47,,,6.51,N/A,,2.78
2021-11-12,2021-11-19,Pain,760,,353,,,258,,,1,1372,1.84,,2.44,,,9.23,N/A,,2.34
2021-11-12,2021-11-19,Chest discomfort,870,,359,,,118,,,0,1347,2.11,,2.48,,,4.22,N/A,,2.30
2021-11-12,2021-11-19,Arthralgia (joint pain),818,,303,,,197,,,0,1318,1.98,,2.09,,,7.04,N/A,,2.25
2021-11-12,2021-11-19,Vaccination site warmth,245,,937,,,113,,,0,1295,0.59,,6.48,,,4.04,N/A,,2.21
2021-11-12,2021-11-19,Rash,705,,402,,,136,,,0,1243,1.71,,2.78,,,4.86,N/A,,2.12
2021-11-12,2021-11-19,Myocarditis/pericarditis,775,,439,,,24,,,3,1241,1.88,,3.03,,,0.86,N/A,,2.12
2021-11-12,2021-11-19,Vomiting,690,,327,,,186,,,0,1203,1.67,,2.26,,,6.65,N/A,,2.05
2021-11-12,2021-11-19,Chills,539,,330,,,322,,,0,1191,1.30,,2.28,,,11.51,N/A,,2.03
2021-11-12,2021-11-19,Diarrhea,649,,295,,,187,,,0,1131,1.57,,2.04,,,6.69,N/A,,1.93
2021-11-12,2021-11-19,Adenopathy/lymphadenopathy (swollen lymph nodes),707,,368,,,54,,,0,1129,1.71,,2.54,,,1.93,N/A,,1.93
2021-11-12,2021-11-19,Pain in extremity,684,,229,,,214,,,0,1127,1.66,,1.58,,,7.65,N/A,,1.92
2021-11-12,2021-11-19,Myalgia (muscle pain),468,,260,,,191,,,0,919,1.13,,1.80,,,6.83,N/A,,1.57
2021-11-12,2021-11-19,Throat tightness,663,,193,,,48,,,0,904,1.60,,1.33,,,1.72,N/A,,1.54
2021-11-12,2021-11-19,Vaccination site pruritus (itching),169,,645,,,63,,,0,877,0.41,,4.46,,,2.25,N/A,,1.50
2021-11-12,2021-11-19,Rash generalized (non-allergic),503,,263,,,96,,,0,862,1.22,,1.82,,,3.43,N/A,,1.47
2021-11-12,2021-11-19,Asthenia (weakness),490,,214,,,132,,,0,836,1.19,,1.48,,,4.72,N/A,,1.43
2021-11-12,2021-11-19,Palpitations,566,,187,,,51,,,0,804,1.37,,1.29,,,1.82,N/A,,1.37
2021-11-12,2021-11-19,Dysphagia (difficulty swallowing),554,,157,,,45,,,0,756,1.34,,1.09,,,1.61,N/A,,1.29
2021-11-12,2021-11-19,Tachycardia (fast heartbeat),457,,175,,,63,,,0,695,1.11,,1.21,,,2.25,N/A,,1.19
2021-11-12,2021-11-19,Malaise (discomfort),405,,170,,,98,,,0,673,0.98,,1.18,,,3.50,N/A,,1.15
2021-11-12,2021-11-19,Cough,422,,184,,,57,,,0,663,1.02,,1.27,,,2.04,N/A,,1.13
2021-11-12,2021-11-19,Bell's palsy/facial paralysis,453,,148,,,47,,,1,649,1.10,,1.02,,,1.68,N/A,,1.11
2021-11-12,2021-11-19,Vaccination site cellulitis,71,,507,,,71,,,0,649,0.17,,3.50,,,2.54,N/A,,1.11
2021-11-12,2021-11-19,Swelling face,438,,153,,,52,,,0,643,1.06,,1.06,,,1.86,N/A,,1.10
2021-11-12,2021-11-19,Abdominal pain,390,,134,,,98,,,0,622,0.94,,0.93,,,3.50,N/A,,1.06
2021-11-12,2021-11-19,Anaphylaxis,464,,128,,,22,,,1,615,1.12,,0.88,,,0.79,N/A,,1.05
2021-11-12,2021-11-19,Vaccination site reaction,121,,450,,,36,,,0,607,0.29,,3.11,,,1.29,N/A,,1.04
2021-11-12,2021-11-19,Feeling hot,351,,167,,,79,,,0,597,0.85,,1.15,,,2.82,N/A,,1.02
2021-11-12,2021-11-19,Vaccination site rash,153,,391,,,42,,,0,586,0.37,,2.70,,,1.50,N/A,,1.00
2021-11-12,2021-11-19,Hypersensitivity,356,,175,,,48,,,0,579,0.86,,1.21,,,1.72,N/A,,0.99
2021-11-12,2021-11-19,Peripheral swelling,325,,142,,,97,,,0,564,0.79,,0.98,,,3.47,N/A,,0.96
2021-11-12,2021-11-19,Swollen tongue,377,,121,,,34,,,0,532,0.91,,0.84,,,1.22,N/A,,0.91
2021-11-12,2021-11-19,Hyperhidrosis (excessive sweating),305,,146,,,62,,,0,513,0.74,,1.01,,,2.22,N/A,,0.88
2021-11-12,2021-11-19,Dermatitis allergic,291,,170,,,44,,,0,505,0.70,,1.18,,,1.57,N/A,,0.86
2021-11-12,2021-11-19,Lip swelling,349,,114,,,41,,,0,504,0.84,,0.79,,,1.47,N/A,,0.86
2021-11-19,2021-11-26,Paraesthesia (tingling or prickling),2527,,908,,,500,,,1,3936,6.06,,6.20,,,17.87,N/A,,6.65
2021-11-19,2021-11-26,Vaccination site pain,1446,,1869,,,391,,,0,3706,3.47,,12.76,,,13.98,N/A,,6.26
2021-11-19,2021-11-26,Headache,1680,,717,,,718,,,0,3115,4.03,,4.89,,,25.67,N/A,,5.26
2021-11-19,2021-11-26,Pruritus,1827,,898,,,244,,,0,2969,4.38,,6.13,,,8.72,N/A,,5.02
2021-11-19,2021-11-26,Dyspnoea (laboured breathing),1774,,744,,,284,,,0,2802,4.26,,5.08,,,10.15,N/A,,4.74
2021-11-19,2021-11-26,Fatigue,1600,,673,,,406,,,0,2679,3.84,,4.59,,,14.51,N/A,,4.53
2021-11-19,2021-11-26,Urticaria (hives),1563,,742,,,216,,,0,2521,3.75,,5.06,,,7.72,N/A,,4.26
2021-11-19,2021-11-26,Vaccination site erythema (redness),464,,1565,,,181,,,0,2210,1.11,,10.68,,,6.47,N/A,,3.74
2021-11-19,2021-11-26,Nausea,1296,,605,,,290,,,0,2191,3.11,,4.13,,,10.37,N/A,,3.70
2021-11-19,2021-11-26,Fever ≥ 38°C,1011,,650,,,462,,,0,2123,2.43,,4.44,,,16.52,N/A,,3.59
2021-11-19,2021-11-26,Dizziness,1388,,495,,,238,,,1,2122,3.33,,3.38,,,8.51,N/A,,3.59
2021-11-19,2021-11-26,Chest pain,1358,,625,,,136,,,0,2119,3.26,,4.27,,,4.86,N/A,,3.58
2021-11-19,2021-11-26,Hypoaesthesia (numbness),1298,,438,,,297,,,0,2033,3.12,,2.99,,,10.62,N/A,,3.44
2021-11-19,2021-11-26,Vaccination site swelling,453,,1185,,,163,,,0,1801,1.09,,8.09,,,5.83,N/A,,3.04
2021-11-19,2021-11-26,Erythema (redness),980,,522,,,183,,,0,1685,2.35,,3.56,,,6.54,N/A,,2.85
2021-11-19,2021-11-26,Chest discomfort,960,,386,,,121,,,0,1467,2.30,,2.63,,,4.33,N/A,,2.48
2021-11-19,2021-11-26,Pain,822,,372,,,262,,,1,1457,1.97,,2.54,,,9.37,N/A,,2.46
2021-11-19,2021-11-26,Arthralgia (joint pain),916,,320,,,202,,,0,1438,2.20,,2.18,,,7.22,N/A,,2.43
2021-11-19,2021-11-26,Myocarditis/pericarditis,823,,479,,,24,,,3,1329,1.98,,3.27,,,0.86,N/A,,2.25
2021-11-19,2021-11-26,Vaccination site warmth,249,,953,,,114,,,0,1316,0.60,,6.50,,,4.08,N/A,,2.22
2021-11-19,2021-11-26,Rash,750,,426,,,140,,,0,1316,1.80,,2.91,,,5.00,N/A,,2.22
2021-11-19,2021-11-26,Vomiting,744,,353,,,187,,,0,1284,1.79,,2.41,,,6.69,N/A,,2.17
2021-11-19,2021-11-26,Chills,571,,349,,,326,,,0,1246,1.37,,2.38,,,11.65,N/A,,2.11
2021-11-19,2021-11-26,Adenopathy/lymphadenopathy (swollen lymph nodes),768,,396,,,57,,,0,1221,1.84,,2.70,,,2.04,N/A,,2.06
2021-11-19,2021-11-26,Diarrhea,703,,311,,,187,,,0,1201,1.69,,2.12,,,6.69,N/A,,2.03
2021-11-19,2021-11-26,Pain in extremity,723,,240,,,218,,,0,1181,1.74,,1.64,,,7.79,N/A,,2.00
2021-11-19,2021-11-26,Throat tightness,699,,213,,,48,,,0,960,1.68,,1.45,,,1.72,N/A,,1.62
2021-11-19,2021-11-26,Myalgia (muscle pain),490,,273,,,194,,,0,957,1.18,,1.86,,,6.94,N/A,,1.62
2021-11-19,2021-11-26,Rash generalized (non-allergic),540,,272,,,100,,,0,912,1.30,,1.86,,,3.57,N/A,,1.54
2021-11-19,2021-11-26,Palpitations,639,,202,,,55,,,0,896,1.53,,1.38,,,1.97,N/A,,1.51
2021-11-19,2021-11-26,Asthenia,534,,227,,,134,,,0,895,1.28,,1.55,,,4.79,N/A,,1.51
2021-11-19,2021-11-26,Vaccination site pruritus,175,,655,,,63,,,0,893,0.42,,4.47,,,2.25,N/A,,1.51
2021-11-19,2021-11-26,Dysphagia,576,,169,,,48,,,0,793,1.38,,1.15,,,1.72,N/A,,1.34
2021-11-19,2021-11-26,Tachycardia (fast heartbeat),487,,183,,,65,,,0,735,1.17,,1.25,,,2.32,N/A,,1.24
2021-11-19,2021-11-26,Cough,461,,197,,,56,,,0,714,1.11,,1.34,,,2.00,N/A,,1.21
2021-11-19,2021-11-26,Malaise (discomfort),429,,177,,,100,,,0,706,1.03,,1.21,,,3.57,N/A,,1.19
2021-11-19,2021-11-26,Swelling face,466,,163,,,53,,,0,682,1.12,,1.11,,,1.89,N/A,,1.15
2021-11-19,2021-11-26,Vaccination site cellulitis,74,,514,,,72,,,0,660,0.18,,3.51,,,2.57,N/A,,1.12
2021-11-19,2021-11-26,Abdominal pain,416,,139,,,98,,,0,653,1.00,,0.95,,,3.50,N/A,,1.10
2021-11-19,2021-11-26,Bell's palsy/facial paralysis,455,,150,,,47,,,1,650,1.09,,1.02,,,1.68,N/A,,1.10
2021-11-19,2021-11-26,Anaphylaxis,488,,131,,,23,,,1,643,1.17,,0.89,,,0.82,N/A,,1.09
2021-11-19,2021-11-26,Vaccination site reaction,135,,464,,,36,,,0,635,0.32,,3.17,,,1.29,N/A,,1.07
2021-11-19,2021-11-26,Feeling hot,371,,170,,,79,,,0,620,0.89,,1.16,,,2.82,N/A,,1.05
2021-11-19,2021-11-26,Vaccination site rash,164,,402,,,42,,,0,608,0.39,,2.74,,,1.50,N/A,,1.03
2021-11-19,2021-11-26,Hypersensitivity,367,,179,,,50,,,1,597,0.88,,1.22,,,1.79,N/A,,1.01
2021-11-19,2021-11-26,Swollen tongue,389,,128,,,35,,,0,552,0.93,,0.87,,,1.25,N/A,,0.93
2021-11-19,2021-11-26,Hyperhidrosis (excessive sweating),325,,154,,,63,,,0,542,0.78,,1.05,,,2.25,N/A,,0.92
2021-11-19,2021-11-26,Dermatitis allergic,313,,177,,,46,,,0,536,0.75,,1.21,,,1.64,N/A,,0.91
2021-11-19,2021-11-26,Lip swelling,364,,120,,,41,,,0,525,0.87,,0.82,,,1.47,N/A,,0.89
2021-11-19,2021-11-26,Oropharyngeal (throat) pain,327,,148,,,42,,,0,517,0.78,,1.01,,,1.50,N/A,,0.87
2021-11-26,2021-12-03,Paraesthesia (tingling or prickling),2673,,965,,,505,,,11,4154,6.36,,6.56,,,18.05,N/A,,6.97
2021-11-26,2021-12-03,Vaccination site pain,1500,,1914,,,394,,,13,3821,3.57,,13.01,,,14.08,N/A,,6.41
2021-11-26,2021-12-03,Headache,1750,,744,,,723,,,31,3248,4.16,,5.06,,,25.84,N/A,,5.45
2021-11-26,2021-12-03,Pruritus,1900,,939,,,247,,,13,3099,4.52,,6.38,,,8.83,N/A,,5.20
2021-11-26,2021-12-03,Dyspnoea (laboured breathing),1848,,779,,,286,,,19,2932,4.40,,5.30,,,10.22,N/A,,4.92
2021-11-26,2021-12-03,Fatigue,1646,,694,,,410,,,48,2798,3.92,,4.72,,,14.65,N/A,,4.70
2021-11-26,2021-12-03,Urticaria (hives),1630,,787,,,219,,,7,2643,3.88,,5.35,,,7.83,N/A,,4.44
2021-11-26,2021-12-03,Nausea,1332,,636,,,294,,,27,2289,3.17,,4.32,,,10.51,N/A,,3.84
2021-11-26,2021-12-03,Chest pain,1458,,671,,,137,,,6,2272,3.47,,4.56,,,4.90,N/A,,3.81
2021-11-26,2021-12-03,Vaccination site erythema (redness),477,,1589,,,183,,,5,2254,1.13,,10.80,,,6.54,N/A,,3.78
2021-11-26,2021-12-03,Fever ≥ 38°C,1045,,673,,,465,,,22,2205,2.49,,4.58,,,16.62,N/A,,3.70
2021-11-26,2021-12-03,Dizziness,1426,,518,,,241,,,18,2203,3.39,,3.52,,,8.61,N/A,,3.70
2021-11-26,2021-12-03,Hypoaesthesia (numbness),1379,,460,,,298,,,15,2152,3.28,,3.13,,,10.65,N/A,,3.61
2021-11-26,2021-12-03,Vaccination site swelling,495,,1300,,,177,,,2,1974,1.18,,8.84,,,6.33,N/A,,3.31
2021-11-26,2021-12-03,Erythema (redness),1018,,549,,,185,,,11,1763,2.42,,3.73,,,6.61,N/A,,2.96
2021-11-26,2021-12-03,Pain,859,,385,,,267,,,40,1551,2.04,,2.62,,,9.54,N/A,,2.60
2021-11-26,2021-12-03,Chest discomfort,1018,,405,,,122,,,4,1549,2.42,,2.75,,,4.36,N/A,,2.60
2021-11-26,2021-12-03,Arthralgia (joint pain),949,,333,,,202,,,32,1516,2.26,,2.26,,,7.22,N/A,,2.54
