data-cut-off-date,web-posting-date,vaccine-name,non-serious-all,serious-all,total-all,non-serious-rate-all,serious-rate-all,total-rate-all,doses-admin-all,non-serious-18plus,serious-18plus,total-18plus,non-serious-rate-18plus,serious-rate-18plus,total-rate-18plus,doses-admin-18plus,non-serious-12to17,serious-12to17,total-12to17,non-serious-rate-12to17,serious-rate-12to17,total-rate-12to17,doses-admin-12to17,non-serious-5to11,serious-5to11,total-5to11,non-serious-rate-5to11,serious-rate-5to11,total-rate-5to11,doses-admin-5to11,non-serious-0to4,serious-0to4,total-0to4,non-serious-rate-0to4,serious-rate-0to4,total-rate-0to4,doses-admin-0to4
2021-10-29,2021-11-05,COVISHIELD/AstraZeneca (Dose 1),1615,441,2056,72.53,19.81,92.33,2226691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,COVISHIELD/AstraZeneca (Dose 2),61,39,100,10.74,6.86,17.60,568115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Unknown vaccine (Total),34,186,220,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Unknown vaccine (Dose 1),10,52,62,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Unknown vaccine (Dose 2),13,41,54,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Unknown vaccine (Dose 3),0,2,2,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Pfizer-BioNTech (Total),9493,3962,13455,23.19,9.68,32.87,40933156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Pfizer-BioNTech (Dose 1),6006,2326,8332,27.98,10.84,38.82,21463969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Pfizer-BioNTech (Dose 2),1918,1086,3004,10.01,5.67,15.68,19160135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Pfizer-BioNTech (Dose 3),13,11,24,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Moderna (Total),6114,1071,7185,42.59,7.46,50.05,14355298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Moderna (Dose 1),3982,475,4457,66.11,7.89,73.99,6023420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Moderna (Dose 2),1132,421,1553,13.96,5.19,19.15,8111736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Moderna (Dose 3),19,7,26,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,COVISHIELD/AstraZeneca (Total),2137,723,2860,76.43,25.86,102.29,2795938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,COVISHIELD/AstraZeneca (Dose 1),1650,457,2107,74.09,20.52,94.62,2226879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,COVISHIELD/AstraZeneca (Dose 2),69,40,109,12.14,7.04,19.17,568540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Unknown vaccine (Total),35,192,227,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Unknown vaccine (Dose 1),10,52,62,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Unknown vaccine (Dose 2),13,45,58,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,2021-11-15,Unknown vaccine (Dose 3),0,2,2,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Pfizer-BioNTech (Total),10363,4099,14462,25.08,9.92,35.01,41311947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Pfizer-BioNTech (Dose 1),6435,2395,8830,29.86,11.11,40.97,21553301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Pfizer-BioNTech (Dose 2),2198,1130,3328,11.36,5.84,17.20,19348455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Pfizer-BioNTech (Dose 3),16,13,29,N/A,N/A,N/A,246525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Moderna (Total),6540,1097,7637,45.20,7.58,52.79,14467938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Moderna (Dose 1),4164,488,4652,68.95,8.08,77.03,6039481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Moderna (Dose 2),1292,433,1725,15.84,5.31,21.15,8154557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Moderna (Dose 3),22,8,30,N/A,N/A,N/A,105529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,COVISHIELD/AstraZeneca (Total),2200,727,2927,78.66,25.99,104.66,2796718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,COVISHIELD/AstraZeneca (Dose 1),1692,459,2151,75.86,20.58,96.44,2230424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,COVISHIELD/AstraZeneca (Dose 2),73,40,113,12.90,7.07,19.97,565760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Unknown vaccine (Total),37,194,231,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Unknown vaccine (Dose 1),12,52,64,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Unknown vaccine (Dose 2),13,45,58,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,2021-11-19,Unknown vaccine (Dose 3),0,3,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Pfizer-BioNTech (Total),11281,4247,15528,27.07,10.19,37.27,41667777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Pfizer-BioNTech (Dose 1),6905,2460,9365,31.94,11.38,43.32,21616983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Pfizer-BioNTech (Dose 2),2420,1185,3605,12.42,6.08,18.50,19482554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Pfizer-BioNTech (Dose 3),31,21,52,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Moderna (Total),6907,1133,8040,47.14,7.73,54.87,14653042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Moderna (Dose 1),4325,495,4820,71.48,8.18,79.66,6050594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Moderna (Dose 2),1414,455,1869,17.11,5.50,22.61,8265968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Moderna (Dose 3),42,8,50,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,COVISHIELD/AstraZeneca (Total),2244,731,2975,80.22,26.13,106.35,2797304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,COVISHIELD/AstraZeneca (Dose 1),1717,463,2180,76.97,20.75,97.72,2230801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,COVISHIELD/AstraZeneca (Dose 2),76,41,117,13.43,7.24,20.67,565982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Unknown vaccine (Total),37,204,241,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Unknown vaccine (Dose 1),12,53,65,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Unknown vaccine (Dose 2),12,47,59,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,2021-11-26,Unknown vaccine (Dose 3),0,5,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Pfizer-BioNTech (Total),11828,4363,16191,28.14,10.38,38.52,42033351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Pfizer-BioNTech (Dose 1),7230,2510,9740,33.36,11.58,44.94,21674848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Pfizer-BioNTech (Dose 2),2617,1239,3856,13.35,6.32,19.67,19602049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Pfizer-BioNTech (Dose 3),45,24,69,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Moderna (Total),7180,1183,8363,48.81,8.04,56.85,14709597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Moderna (Dose 1),4480,519,4999,73.82,8.55,82.38,6068557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Moderna (Dose 2),1501,480,1981,18.25,5.84,24.09,8224610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Moderna (Dose 3),63,12,75,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,COVISHIELD/AstraZeneca (Total),2261,739,3000,80.80,26.41,107.21,2798295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,COVISHIELD/AstraZeneca (Dose 1),1730,468,2198,77.53,20.97,98.50,2231359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,COVISHIELD/AstraZeneca (Dose 2),80,43,123,14.12,7.59,21.72,566415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Unknown vaccine (Total),37,207,244,NA,NA,NA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Unknown vaccine (Dose 1),12,52,64,NA,NA,NA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Unknown vaccine (Dose 2),12,51,63,NA,NA,NA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,2021-12-03,Unknown vaccine (Dose 3),0,6,6,NA,NA,NA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Pfizer-BioNTech (Total),12394,4457,16851,28.90,10.39,39.29,42884718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Pfizer-BioNTech (Dose 1),7654,2553,10207,34.95,11.66,46.61,21899109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Pfizer-BioNTech (Dose 2),2739,1286,4025,13.90,6.53,20.43,19701087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Pfizer-BioNTech (Dose 3),49,26,75,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Moderna (Total),7494,1217,8711,50.41,8.19,58.60,14865735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Moderna (Dose 1),4683,524,5207,77.23,8.64,85.87,6063744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Moderna (Dose 2),1594,499,2093,19.34,6.06,25.40,8240856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Moderna (Dose 3),71,16,87,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,COVISHIELD/AstraZeneca (Total),2318,744,3062,82.81,26.58,109.39,2799220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,COVISHIELD/AstraZeneca (Dose 1),1780,474,2254,79.75,21.24,100.99,2231868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,COVISHIELD/AstraZeneca (Dose 2),82,44,126,14.47,7.76,22.23,566793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,COVISHIELD/AstraZeneca (Dose 3),0,1,1,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Unknown vaccine (Total),39,212,251,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Unknown vaccine (Dose 1),12,52,64,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Unknown vaccine (Dose 2),14,53,67,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,2021-12-10,Unknown vaccine (Dose 3),1,7,8,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-10,2021-12-17,Pfizer-BioNTech (Total),12872,4539,17411,29.63,10.45,40.08,43437803,12064,3912,15976,31.03,10.06,41.09,38879230,716,255,971,N/A,N/A,N/A,4233690,28,4,32,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Pfizer-BioNTech (Dose 1),7937,2599,10536,35.76,11.71,47.48,22192445,7481,2306,9787,38.30,11.81,50.11,19532568,414,113,527,N/A,N/A,N/A,2181908,16,1,17,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Pfizer-BioNTech (Dose 2),2859,1321,4180,14.46,6.68,21.14,19768388,2601,1112,3713,14.71,6.29,21.00,17682647,225,123,348,N/A,N/A,N/A,2048641,8,2,10,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Pfizer-BioNTech (Dose 3),58,31,89,N/A,N/A,N/A,N/A,55,28,83,N/A,N/A,N/A,N/A,0,1,1,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Moderna (Total),7803,1236,9039,51.98,8.23,60.22,15011174,7615,1149,8764,50.88,7.68,58.56,14966826,11,5,16,N/A,N/A,N/A,36266,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Moderna (Dose 1),4838,532,5370,79.67,8.76,88.43,6072588,4695,497,5192,77.62,8.22,85.83,6049072,10,1,11,N/A,N/A,N/A,19039,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Moderna (Dose 2),1676,522,2198,20.29,6.32,26.61,8261038,1634,490,2124,19.83,5.95,25.78,8240518,1,4,5,N/A,N/A,N/A,16910,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Moderna (Dose 3),83,16,99,N/A,N/A,N/A,N/A,82,15,97,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,COVISHIELD/AstraZeneca (Total),2387,766,3153,85.25,27.36,112.60,2800093,2379,682,3061,84.97,24.36,109.33,2799889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,COVISHIELD/AstraZeneca (Dose 1),1825,491,2316,81.75,21.99,103.75,2232361,1823,457,2280,81.67,20.47,102.14,2232188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,COVISHIELD/AstraZeneca (Dose 2),84,46,130,14.81,8.11,22.92,567177,80,43,123,14.11,7.58,21.69,567139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,409,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Unknown vaccine (Total),39,214,253,N/A,N/A,N/A,N/A,34,186,220,N/A,N/A,N/A,N/A,1,1,2,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Unknown vaccine (Dose 1),12,51,63,N/A,N/A,N/A,N/A,9,43,52,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Unknown vaccine (Dose 2),13,54,67,N/A,N/A,N/A,N/A,12,50,62,N/A,N/A,N/A,N/A,1,0,1,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-10,2021-12-17,Unknown vaccine (Dose 3),1,7,8,N/A,N/A,N/A,N/A,1,6,7,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Pfizer-BioNTech (Total),13521,4627,18148,30.24,10.35,40.59,44714534,12660,3989,16649,32.05,10.10,42.15,39495974,740,259,999,17.40,6.09,23.49,4253623,53,7,60,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Pfizer-BioNTech (Dose 1),8248,2631,10879,36.32,11.59,47.91,22706597,7751,2334,10085,39.60,11.93,51.53,19571114,433,114,547,19.77,5.20,24.97,2190531,35,3,38,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Pfizer-BioNTech (Dose 2),3038,1361,4399,15.32,6.86,22.18,19829352,2785,1147,3932,15.70,6.47,22.17,17733540,229,126,355,11.12,6.12,17.24,2059095,8,2,10,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Pfizer-BioNTech (Dose 3),90,35,125,N/A,N/A,N/A,N/A,89,31,120,N/A,N/A,N/A,N/A,0,1,1,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Moderna (Total),8075,1267,9342,53.09,8.33,61.43,15208758,7889,1174,9063,52.03,7.74,59.77,15163650,10,6,16,27.00,16.20,43.21,37031,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Moderna (Dose 1),4953,542,5495,81.43,8.91,90.34,6082634,4449,505,4954,73.43,8.33,81.76,6058907,10,1,11,51.92,5.19,57.11,19260,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Moderna (Dose 2),1780,534,2314,21.48,6.44,27.93,8286313,1740,500,2240,21.05,6.05,27.10,8265276,0,5,5,0.00,28.69,28.69,17425,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Moderna (Dose 3),99,20,119,N/A,N/A,N/A,N/A,99,18,117,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,COVISHIELD/AstraZeneca (Total),2435,770,3205,86.91,27.48,114.40,2801646,2426,686,3112,86.60,24.49,111.09,2801434,N/A,N/A,N/A,N/A,N/A,N/A,173,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,COVISHIELD/AstraZeneca (Dose 1),1857,495,2352,83.15,22.16,105.31,2233322,1855,460,2315,83.07,20.60,103.67,2233146,N/A,N/A,N/A,N/A,N/A,N/A,137,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,COVISHIELD/AstraZeneca (Dose 2),88,46,134,15.50,8.10,23.60,567756,84,43,127,14.80,7.57,22.37,567713,N/A,N/A,N/A,N/A,N/A,N/A,36,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Unknown vaccine (Total),39,217,256,N/A,N/A,N/A,N/A,34,188,222,N/A,N/A,N/A,N/A,1,1,2,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Unknown vaccine (Dose 1),12,52,64,N/A,N/A,N/A,N/A,9,44,53,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Unknown vaccine (Dose 2),13,55,68,N/A,N/A,N/A,N/A,12,50,62,N/A,N/A,N/A,N/A,1,0,1,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-17,2021-12-24,Unknown vaccine (Dose 3),1,7,8,N/A,N/A,N/A,N/A,1,6,7,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Pfizer-BioNTech (Total),14352,4828,19180,30.09,10.12,40.21,47695718,13415,4158,17573,31.89,9.89,41.78,42060665,777,280,1057,N/A,N/A,N/A,N/A,88,15,103,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Pfizer-BioNTech (Dose 1),8671,2709,11380,37.51,11.72,49.23,23117166,8130,2394,10524,41.42,12.20,53.62,19626051,444,125,569,N/A,N/A,N/A,N/A,65,10,75,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Pfizer-BioNTech (Dose 2),3350,1454,4804,16.78,7.28,24.06,19965983,3062,1228,4290,17.17,6.88,24.05,17835932,252,135,387,N/A,N/A,N/A,N/A,10,2,12,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Pfizer-BioNTech (Dose 3),140,45,185,N/A,N/A,N/A,N/A,N/A,41,179,N/A,N/A,N/A,N/A,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Moderna (Total),8486,1331,9817,52.25,8.19,60.44,16242453,8296,1235,9531,51.22,7.63,58.85,16195767,11,7,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Moderna (Dose 1),5123,563,5686,83.95,9.23,93.17,6102524,4978,526,5504,81.90,8.65,90.55,6078431,10,1,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Moderna (Dose 2),1947,566,2513,23.40,6.80,30.20,8321401,1904,530,2434,22.94,6.39,29.33,8299655,1,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Moderna (Dose 3),161,23,184,N/A,N/A,N/A,N/A,N/A,21,183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,COVISHIELD/AstraZeneca (Total),2504,791,3295,89.31,28.21,117.52,2803871,2495,705,3200,88.99,25.15,114.14,2803656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,COVISHIELD/AstraZeneca (Dose 1),1918,506,2424,85.84,22.65,108.49,2234308,1916,471,2387,85.76,21.08,106.84,2234128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,COVISHIELD/AstraZeneca (Dose 2),91,53,144,16.00,9.32,25.32,568749,87,48,135,15.30,8.44,23.74,568707,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,COVISHIELD/AstraZeneca (Dose 3),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Janssen (Total),6,5,11,N/A,N/A,N/A,N/A,5,5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Janssen (Dose 1),5,4,9,N/A,N/A,N/A,N/A,5,4,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Janssen (Dose 2),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Janssen (Dose 3),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Unknown vaccine (Total),42,225,267,N/A,N/A,N/A,N/A,37,196,233,N/A,N/A,N/A,N/A,1,1,2,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Unknown vaccine (Dose 1),13,53,66,N/A,N/A,N/A,N/A,10,45,55,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
2021-12-31,2022-01-07,Unknown vaccine (Dose 2),13,55,68,N/A,N/A,N/A,N/A,12,50,62,N/A,N/A,N/A,N/A,1,0,1,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,,,,,,
